Timestamp,What is your sex? (don't mean to offend) // Cual es tu sexo? (Sin ofender),How old are you? (Just write the number of years) // Cuantos anios tienes? (Solo escribe el número de anios),Do you have any children? // Tienes hijos? ,Do you smoke? // Fumas? ,Where are you from? (Country) // De donde eres? (Pais),Where do you live now? (Country) // Donde vives ahora? (Pais),Have you studied abroad? // Has estudiado en el extranjero?,"If you answered 'yes' before, write the country where you studied. // Si seleccionaste que si en la pregunta anterior, escribe en que pais estudiaste.",What is your latest degree? (Even if you just started) // Cual es tu último grado de estudios? (Incluso si acabas de empezarlo),What is your Bachelor's degree area? // Cual es el area de tus estudios de Licenciatura?,"From 1 to 10, how much did you enjoy your Bachelor's studies? // Del 1 al 10, cuanto disfrutaste tus estudios de Licenciatura?",Do you currently work on something related to your Bachelor's studies? // Actualmente trabajas en algo relacionado con tus estudios de licenciatura?,"If previous answer was 'yes', how much do you enjoy working there? // Si la respuesta anterior fue si, cuanto disfrutas trabajar ahi?","Think about your top 3 hobbies, select all that apply. // Piensa en tus 3 pasatiempos favoritos, selecciona todas las que apliquen. ","About your favorite hobby, how often do you practice it? // De tu pasatiempo favorito, que tan seguido lo practicas? ","About your favorite hobby, how much do you enjoy it? // De tu pasatiempo favorito, que tanto lo disfrutas? ",Do you consider that you don't have enough time to practice your favorite hobby? // Consideras que no tienes el tiempo suficiente para practicar tu pasatiempo favorito?
8/1/2017 21:14:23,Fem,22,No,Yes,Mexico,Mexico ,Yes,Germany,Bachelor // Licenciatura,Engineering and Technology // Ingenieria y Tecnologia,7,Yes,8,"Stay at home // Quedarme en casa, Just me // Solo yo, With friends // Con amigos, Mall // Centro comercial, Netflix",3 or more times a week // 3 veces o mas a la semana,9,"No, it's enough // No, asi es suficiente"
8/1/2017 21:23:50,Male,25,No,No,Mexico,Mexico,No,,Bachelor // Licenciatura,Computer Science and IT // Ciencias de la computacion y TI,8,Yes,6,"Videogames // Videojuegos, Just me // Solo yo, With friends // Con amigos",Once or twice a week // una o dos veces a la semana,9,"No, it's enough // No, asi es suficiente"
8/1/2017 21:26:17,Fem,26,No,Yes,Mexico,Mexico,No,,Masters // Maestria,"Arts, Design and Architecture // Artes, Disenio y Arquitectura",9,Yes,10,"With friends // Con amigos, Party // Fiesta, Netflix and chill",Once or twice a week // una o dos veces a la semana,8,"Yes, I need more time // Si,  necesito mas tiempo"
8/1/2017 21:26:43,Male,19,No,"Not right now, but I have // No ahora, pero lo he hecho",Mexico ,Mexico ,No,,High School // Preparatoria,,,,,"Sports // Deportes, Stay at home // Quedarme en casa, Videogames // Videojuegos, With friends // Con amigos, Mall // Centro comercial, Party // Fiesta",3 or more times a week // 3 veces o mas a la semana,8,"No, it's enough // No, asi es suficiente"
8/1/2017 21:27:01,Fem,57,No,No,Mexico,Mexico,No,,Masters // Maestria,Applied Sciences // Ciencias aplicadas,9,Yes,9,Stay at home // Quedarme en casa,3 or more times a week // 3 veces o mas a la semana,10,"Yes, I need more time // Si,  necesito mas tiempo"
8/1/2017 21:27:13,Fem,30,No,No,Mexico,USA,No,,Bachelor // Licenciatura,Computer Science and IT // Ciencias de la computacion y TI,8,Yes,9,"Outdoors // Exteriores, With friends // Con amigos, Party // Fiesta",Twice a month // dos veces al mes,8,"Yes, I need more time // Si,  necesito mas tiempo"
8/1/2017 21:31:07,Fem,22,No,"Not right now, but I have // No ahora, pero lo he hecho",Mexico,Mexico,Yes,Sweden,Bachelor // Licenciatura,Computer Science and IT // Ciencias de la computacion y TI,8,Yes,9,"Outdoors // Exteriores, Sports // Deportes, Videogames // Videojuegos",3 or more times a week // 3 veces o mas a la semana,10,"No, it's enough // No, asi es suficiente"
8/1/2017 21:35:07,Fem,24,No,No,Mexico,Mexico,No,,Bachelor // Licenciatura,Humanities // Humanidades,5,No,,"Videogames // Videojuegos, With friends // Con amigos, Pet // Mascota",3 or more times a week // 3 veces o mas a la semana,10,"No, it's enough // No, asi es suficiente"
8/1/2017 21:35:50,Male,29,No,No,Mexico,Mexico,No,,PhD // Doctorado,Computer Science and IT // Ciencias de la computacion y TI,9,Yes,10,"Outdoors // Exteriores, Sports // Deportes, Videogames // Videojuegos",3 or more times a week // 3 veces o mas a la semana,10,"No, it's enough // No, asi es suficiente"
8/1/2017 21:36:13,Fem,25,No,"Not right now, but I have // No ahora, pero lo he hecho",Mexico,Mexico,No,,Bachelor // Licenciatura,"Arts, Design and Architecture // Artes, Disenio y Arquitectura",9,Yes,9,"Stay at home // Quedarme en casa, With friends // Con amigos, Pet // Mascota",3 or more times a week // 3 veces o mas a la semana,9,"No, it's enough // No, asi es suficiente"
8/1/2017 21:38:04,Fem,22,No,No,Mexico,Mexico,No,,Bachelor // Licenciatura,Business and Management // Negocios y Administracion,10,Yes,5,"Stay at home // Quedarme en casa, Videogames // Videojuegos, Just me // Solo yo, With friends // Con amigos, Mall // Centro comercial, Pet // Mascota",Once or twice a week // una o dos veces a la semana,10,"Yes, I need more time // Si,  necesito mas tiempo"
8/1/2017 21:39:46,Fem,22,No,No,Mexico,Mexico,No,,Bachelor // Licenciatura,"Arts, Design and Architecture // Artes, Disenio y Arquitectura",10,Yes,10,"Videogames // Videojuegos, With friends // Con amigos, Pet // Mascota",3 or more times a week // 3 veces o mas a la semana,10,"Yes, I need more time // Si,  necesito mas tiempo"
8/1/2017 21:39:47,Fem,25,No,"Not right now, but I have // No ahora, pero lo he hecho",Mexico,Mexico,No,,Masters // Maestria,"Arts, Design and Architecture // Artes, Disenio y Arquitectura",10,Yes,8,"Outdoors // Exteriores, With friends // Con amigos, Pet // Mascota",3 or more times a week // 3 veces o mas a la semana,10,"Yes, I need more time // Si,  necesito mas tiempo"
8/1/2017 21:40:54,Male,58,Yes,No,Mexico,Mexico ,No,,Bachelor // Licenciatura,Business and Management // Negocios y Administracion,9,Yes,9,"Sports // Deportes, Stay at home // Quedarme en casa, With friends // Con amigos",Once or twice a week // una o dos veces a la semana,9,"No, it's enough // No, asi es suficiente"
8/1/2017 21:41:01,Fem,28,No,Yes,Mexico,Mexico,No,,Bachelor // Licenciatura,Engineering and Technology // Ingenieria y Tecnologia,8,No,,"Videogames // Videojuegos, With friends // Con amigos, Pet // Mascota",3 or more times a week // 3 veces o mas a la semana,9,"Yes, I need more time // Si,  necesito mas tiempo"
8/1/2017 21:41:25,Fem,34,No,No,Mexico,Mexico,No,,Bachelor // Licenciatura,Computer Science and IT // Ciencias de la computacion y TI,6,Yes,9,"Sports // Deportes, Stay at home // Quedarme en casa, With friends // Con amigos",3 or more times a week // 3 veces o mas a la semana,10,"Yes, I need more time // Si,  necesito mas tiempo"
8/1/2017 21:41:56,Fem,24,No,No,Mexico,Mexico ,No,,Bachelor // Licenciatura,Social Sciences // Ciencias Sociales,8,"No, but I have // No, pero si he trabajado",8,"Stay at home // Quedarme en casa, Videogames // Videojuegos, Just me // Solo yo, With friends // Con amigos",Twice a month // dos veces al mes,9,"No, it's enough // No, asi es suficiente"
8/1/2017 21:43:41,Male,27,No,No,Mexico,Mexico,No,,Bachelor // Licenciatura,Engineering and Technology // Ingenieria y Tecnologia,8,Yes,9,"Sports // Deportes, Stay at home // Quedarme en casa, Videogames // Videojuegos",3 or more times a week // 3 veces o mas a la semana,9,"No, it's enough // No, asi es suficiente"
8/1/2017 21:44:51,Fem,26,No,No,Mexico,Mexico,No,,Bachelor // Licenciatura,Journalism and Media // Periodismo y Medios de Comunicacion,8,"No, but I work on something else // No, pero trabajo en algo mas",,"Outdoors // Exteriores, Sports // Deportes, Stay at home // Quedarme en casa",Once or twice a week // una o dos veces a la semana,8,"Yes, I need more time // Si,  necesito mas tiempo"
8/1/2017 21:45:49,Fem,27,No,"Not right now, but I have // No ahora, pero lo he hecho",Mexico,Mexico,No,,High School // Preparatoria,,,,,"Stay at home // Quedarme en casa, Videogames // Videojuegos, Party // Fiesta",Once a month // una vez al mes,10,"Yes, I need more time // Si,  necesito mas tiempo"
