index,sex,years,children,smoke,countryFrom,countryNow,abroad,countryAbroad,degree,bachelorArea,bachelorEnjoy,bachelorWork,bachelorWorkEnjoy,hobbyOften,hobbyEnjoy,hobbyTime,hOutdoors,hSports,hStayHome,hVideogames,hJustMe,hWithFriends,hMall,hPet,hStudy,hParty,hNetflix,hFamily
1,Fem,22,No,Yes,Mexico,Mexico,Yes,Germany,3,Engineering and Technology,7,Yes,8,3 week,9,Enough,0,0,1,0,1,1,1,0,0,0,1,0
2,Male,25,No,No,Mexico,Mexico,No,,3,Computer Science and IT,8,Yes,6,2 week,9,Enough,0,0,0,1,1,1,0,0,0,0,0,0
3,Fem,26,No,Yes,Mexico,Mexico,No,,4,Arts Design and Architecture,9,Yes,10,2 week,8,Need more,0,0,0,0,0,1,0,0,0,1,1,0
4,Male,19,No,Not now,Mexico,Mexico,No,,2,,,,,3 week,8,Enough,0,1,1,1,0,1,1,0,0,1,0,0
5,Fem,57,No,No,Mexico,Mexico,No,,4,Applied Sciences,9,Yes,9,3 week,10,Need more,0,0,1,0,0,0,0,0,0,0,0,0
6,Fem,30,No,No,Mexico,USA,No,,3,Computer Science and IT,8,Yes,9,2 month,8,Need more,1,0,0,0,0,1,0,0,0,1,0,0
7,Fem,22,No,Not now,Mexico,Mexico,Yes,Sweden,3,Computer Science and IT,8,Yes,9,3 week,10,Enough,1,1,0,1,0,0,0,0,0,0,0,0
8,Fem,24,No,No,Mexico,Mexico,No,,3,Humanities,5,No,,3 week,10,Enough,0,0,0,1,0,1,0,1,0,0,0,0
9,Male,29,No,No,Mexico,Mexico,No,,5,Computer Science and IT,9,Yes,10,3 week,10,Enough,1,1,0,1,0,0,0,0,0,0,0,0
10,Fem,25,No,Not now,Mexico,Mexico,No,,3,Arts Design and Architecture,9,Yes,9,3 week,9,Enough,0,0,1,0,0,1,0,1,0,0,0,0
11,Fem,22,No,No,Mexico,Mexico,No,,3,Business and Management,10,Yes,5,2 week,10,Need more,0,0,1,1,1,1,1,1,0,0,0,0
12,Fem,22,No,No,Mexico,Mexico,No,,3,Arts Design and Architecture,10,Yes,10,3 week,10,Need more,0,0,0,1,0,1,0,1,0,0,0,0
13,Fem,25,No,Not now,Mexico,Mexico,No,,4,Arts Design and Architecture,10,Yes,8,3 week,10,Need more,1,0,0,0,0,1,0,1,0,0,0,0
14,Male,58,Yes,No,Mexico,Mexico,No,,3,Business and Management,9,Yes,9,2 week,9,Enough,0,1,1,0,0,1,0,0,0,0,0,0
15,Fem,28,No,Yes,Mexico,Mexico,No,,3,Engineering and Technology,8,No,,3 week,9,Need more,0,0,0,1,0,1,0,1,0,0,0,0
16,Fem,34,No,No,Mexico,Mexico,No,,3,Computer Science and IT,6,Yes,9,3 week,10,Need more,0,1,1,0,0,1,0,0,0,0,0,0
17,Fem,24,No,No,Mexico,Mexico,No,,3,Social Sciences,8,No but have,8,2 month,9,Enough,0,0,1,1,1,1,0,0,0,0,0,0
18,Male,27,No,No,Mexico,Mexico,No,,3,Engineering and Technology,8,Yes,9,3 week,9,Enough,0,1,1,1,0,0,0,0,0,0,0,0
19,Fem,26,No,No,Mexico,Mexico,No,,3,Journalism and Media,8,No but else,,2 week,8,Need more,1,1,1,0,0,0,0,0,0,0,0,0
20,Fem,27,No,Not now,Mexico,Mexico,No,,2,,,,,1 month,10,Need more,0,0,1,1,0,0,0,0,0,1,0,0
21,Fem,32,No,Yes,Mexico,Mexico,Yes,UK,3,Humanities,8,No,,3 week,10,Enough,0,0,1,0,1,1,0,0,0,0,0,0
22,Fem,21,No,Not now,Mexico,Mexico,Yes,Sweden,3,Arts Design and Architecture,6,Yes,10,3 week,10,Enough,1,0,0,1,0,0,0,0,0,0,0,0
23,Male,30,No,Yes,Mexico,Mexico,No,,3,Arts Design and Architecture,9,No but else,,3 week,10,Enough,1,1,1,1,0,1,0,0,0,0,0,0
24,Male,22,No,Not now,Mexico,Mexico,No,,3,Computer Science and IT,7,Yes,7,3 week,10,Need more,1,0,0,1,0,0,0,0,0,0,0,0
25,Fem,19,No,No,Colombia,Colombia,No,,3,Arts Design and Architecture,9,No,,3 week,7,Need more,0,1,1,1,1,1,0,1,1,1,0,0
26,Male,25,No,No,Mexico,Mexico,No,,3,Engineering and Technology,9,Yes,9,3 week,10,Need more,0,1,0,1,0,1,0,0,0,0,0,0
27,Fem,30,No,No,Mexico,Mexico,No,,3,Social Sciences,9,No but else,8,2 month,9,Need more,1,0,0,0,0,1,1,0,0,0,0,0
28,Male,29,No,No,Mexico,Mexico,No,,3,Engineering and Technology,10,Yes,10,2 week,10,Enough,1,1,0,1,0,0,0,0,0,0,0,0
29,Fem,24,No,No,Peru,Peru,No,,2,,,,,3 week,10,Enough,0,0,0,1,0,0,0,0,0,0,0,0
30,Male,23,No,No,Thailand,Thailand,Yes,Germany,3,Computer Science and IT,5,Yes,3,3 week,10,Need more,0,0,1,1,0,0,0,0,0,0,0,0
31,Male,23,No,No,Thailand,Thailand,Yes,Germany,3,Computer Science and IT,7,Yes,6,2 week,10,Need more,1,1,1,1,0,1,1,0,0,0,0,0
32,Fem,25,No,No,Mexico,Mexico,No,,3,Medicine and Health,6,No,,1 month,6,Need more,0,1,1,0,1,1,0,1,0,1,0,0
33,Fem,29,No,No,Mexico,Mexico,No,,3,Social Sciences,10,Yes,10,2 month,10,Enough,1,0,0,1,0,1,0,0,0,0,0,0
34,Fem,28,No,Not now,Mexico,Mexico,No,,3,Law,5,No but have,5,2 week,9,Need more,0,0,1,0,0,1,0,1,0,0,0,0
